,Producto,Precio
0,Vino tinto protos crianza ribera del duero monte blanco,455.0
1,Vino blanco chauvenet blanco valle de guadal,66.79
2,Vino tinto navarro correas los arboles tinto -,165.2
3,Vino blanco blanco castillo rhin,72.75
4,Vino tinto barton & guestier beaujolais    ,232.0
5,Vino tinto canals & nubiola catalunya  ,126.75
6,Vino blanco canals & nubiola  semi dulce    ,126.75
7,Vino tinto casillero del diablo 2 pack+ pasta barilla casillero del diablo,349.7
8,Vino tinto merlot e j,123.85
9,Vino tinto protos crianza ribera del duero monte blanco,455.0
10,Vino blanco chauvenet blanco valle de guadal,66.79
11,Vino tinto navarro correas los arboles tinto -,165.2
12,Vino blanco blanco castillo rhin,72.75
13,Vino tinto barton & guestier beaujolais    ,232.0
14,Vino tinto canals & nubiola catalunya  ,126.75
15,Vino blanco canals & nubiola  semi dulce    ,126.75
16,Vino tinto casillero del diablo 2 pack+ pasta barilla casillero del diablo,349.7
17,Vino tinto merlot e j,123.85
18,Vino tinto cabernet sauvignon x.a. domecq,106.3
19,Vino blanco blanc de blancs x.a. domecq,96.9
20,Vino tinto gallo cabernet e j,123.85
21,Vino tinto syrah varietal   vina maipo,86.0
22,Vino tinto  brick tempranillo vina lanzar,28.99
23,Vino blanco vina albina semi dulce reserva  ,244.0
24,Vino tinto vina mayor roble    ,194.0
25,Vino blanco brick airen vina lanzar,32.0
26,Vino tinto carmenere   vina maipo,86.0
27,Vino tinto vina mayor crianza    ,275.0
28,Vino blanco vina mayor fermentado   -,298.0
29,B & g bordeaux tinto    ,250.0
30,B & g bordeaux blanco    ,250.0
31,Vino tinto vina   santa rita,157.63
32,Vino blanco chardonay vina maipo,167.0
33,Vino tinto reserva merlot vina maipo,169.0
34,Vino tinto reserva carmener vina maipo,169.0
35,Vino tinto reserva cabernet sauvignon vina maipo,169.0
36,Vino tinto cabernet vina maipo,58.0
37,Vino blanco sauvignon blanc vina maipo,58.0
38,Vino tinto cabernet sauvignon / merlot valle del maipo vina maipo,86.0
39,Vino blanco reserva chardonay vina maipo,169.0
40,Vino tinto cabernet vina maipo,180.0
41,Vino tinto carmenere vina 35 sur san pedro,195.95
42,Tinto caber sauv4 4187.5mlcanast    ,195.53
43,Vino tinto joven torremaciel -,128.0
44,Vino tinto black label bonarda   las moras,304.0
45,Vino tinto crianza cune,119.0
46,Vino tinto sonsierra crianza tempranillo  ,121.0
47,Vino tinto norton malbec  ,176.0
48,Vino tinto   casillero del diablo,120.0
49,Vino tinto las condes cabernet sauvignon    ,129.0
50,Vino blanco resrevado estefanya chardonnay  ,109.0
51,Vino blanco vendimia seleccionada -,272.0
52,Vino tinto petit hiperia   -,256.0
53,Vino tinto cabernet sauvignon   monte xanic,469.0
54,Vino blanco verano l.a. cetto,135.0
55,Vino tinto red blend napa,465.0
56,Vino tinto coliman bivarietal   -,120.0
57,Vino tinto cabernet v.undur 375ml    ,76.0
58,Vino tinto reservado shiraz concha y toro,107.0
59,Vino blanco ca brusade curtefranca bianco 2014  ,220.0
60,Vino tinto reserva privada   casillero del diablo,340.0
61,Vino tinto cvne imperial reserva  ,510.0
62,Vino tinto navarra joven   the tapas wine collection,165.0
63,Vino tinto portia ebeia   faustino,311.0
64,Vino blanco lambrusco rose di bacco  ,120.0
65,Vino tinto crianza 2009 diamante,130.0
