,Producto,Precio
0,leche alpura  deslactosada 1 l,$17.50
1,leche alpura  deslactosada light 1 l,$17.50
2,leche alpura  sabor chocolate 250 ml,$7.20
3,leche alpura selecta 1 l,$17.00
4,leche alpura 2000 clásica entera 1 l,$16.00
5,leche alpura  deslactosada sabor chocolate 250 ml,$7.20
6,alpura frutal deslactosado fresa 250 ml,$6.90
7,alpura frutal durazno 250 ml,$6.30
8,alpura frutal fresa 250 ml,$6.30
9,alpura frutal guanábana 250 ml,$6.30
10,alpura frutal piña coco 250 ml,$6.30
11,producto lácteo alpura frutal con pulpa de manzana 250 ml,$6.30
12,leche alpura  deslactosada 250 ml,$6.50
13,leche alpura  deslactosada light 250 ml,$6.50
14,leche alpura  sabor chocolate 1 l,$19.90
15,leche alpura  sabor fresa 1 l,$19.90
16,leche alpura  sabor fresa 250 ml,$7.20
17,leche alpura  sabor vainilla 1 l,$19.90
18,leche alpura  sabor vainilla 250 ml,$7.20
19,leche alpura  sin colesterol 1 l,$17.50
20,leche alpura 2000 clásica entera 250 ml,$6.00
21,leche alpura 2000 light 1 l,$16.00
22,leche alpura 2000 light 250 ml,$6.00
23,leche alpura 2000 semi 1 l,$16.00
24,leche alpura 40 y tantos 1 l,$17.50
25,leche alpura dbt 1 l,$20.40
26,leche alpura mujer 1 l,$17.50
27,leche en polvo alpura  clásica entera 500 g,$47.90
28,leche en polvo alpura  deslactosada 480 g,$59.00
29,leche fresca alpura  semidescremada 1 l,$15.10
30,leche fresca alpura clásica entera 1 l,$15.10
31,leche fresca alpura clásica entera 1.89 l,$28.70
32,leche fresca alpura clásica entera 3.78 l,$56.00
33,leche fresca alpura light 1 l,$15.10
34,alpura frutal deslactosado fresa 1 l,$18.80
35,alpura frutal durazno 1 l,$16.50
36,alpura frutal fresa 1 l,$16.50
37,alpura frutal guanábana 1 l,$16.50
38,alpura frutal mango 1 l,$16.50
39,alpura frutal piña coco 1 l,$16.50
40,fórmula láctea alpura kids crecimiento 1 a 3 años 1 l,$19.90
41,fórmula láctea alpura kids crecimiento 1 a 3 años 250 ml,$7.00
